Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
01/02/2017,48.02,48.25,48.33,47.86,835.93K,-0.60%,78138.66
01/03/2017,47.76,48.02,48.06,47.45,735.87K,-0.54%,77754.46
01/04/2017,48.25,47.80,48.25,47.37,593.31K,1.03%,76618.20
01/05/2017,48.16,48.25,48.71,47.37,658.21K,-0.19%,76143.59
01/06/2017,47.94,47.43,48.17,47.43,260.20K,-0.46%,76386.30
01/09/2017,47.64,47.86,48.51,47.52,1.01M,-0.63%,77106.57
01/10/2017,47.56,47.48,47.88,47.39,1.14M,-0.17%,77394.44
01/11/2017,48.49,47.47,48.49,47.33,1.02M,1.96%,77393.69
01/12/2017,50.88,48.61,50.93,48.53,1.43M,4.93%,77666.58
01/13/2017,52.11,50.58,52.16,50.33,853.72K,2.42%,80891.04
01/16/2017,51.91,52.11,52.21,51.17,532.28K,-0.38%,81524.32
01/17/2017,51.32,52.06,52.45,50.98,1.13M,-1.14%,81711.69
01/18/2017,51.86,51.32,51.86,50.98,737.72K,1.05%,82362.77
01/19/2017,52.36,52.01,52.36,51.86,613.94K,0.96%,82779.25
01/20/2017,53.64,52.26,53.74,52.01,1.03M,2.44%,82300.32
01/23/2017,52.95,53.54,53.74,52.40,680.17K,-1.29%,83067.15
01/24/2017,53.39,52.90,53.39,52.40,887.92K,0.83%,83047.80
01/25/2017,52.50,53.49,53.69,51.96,769.48K,-1.67%,84207.89
01/26/2017,52.26,52.70,53.05,51.91,542.30K,-0.46%,83128.26
01/27/2017,52.06,52.31,52.80,51.62,728.08K,-0.38%,83826.54
01/30/2017,52.95,51.96,53.44,51.86,628.07K,1.71%,83827.39
01/31/2017,53.10,52.95,53.29,52.50,686.78K,0.28%,86237.54
02/01/2017,52.01,53.10,53.39,51.96,693.09K,-2.05%,86295.72
02/02/2017,52.36,52.26,52.45,51.76,786.04K,0.67%,86847.96
02/03/2017,52.40,52.21,53.00,51.76,852.59K,0.08%,87394.19
02/06/2017,51.76,52.90,52.90,51.76,428.51K,-1.22%,88389.50
02/07/2017,51.76,51.81,52.16,51.12,806.86K,0.00%,87357.86
02/08/2017,51.76,51.76,52.11,51.42,541.86K,0.00%,87476.73
02/09/2017,51.57,51.71,52.01,51.17,666.68K,-0.37%,88249.08
02/10/2017,50.88,51.57,52.01,50.88,715.71K,-1.34%,88830.21
02/13/2017,50.93,50.88,51.37,50.38,558.85K,0.10%,87473.33
02/14/2017,50.28,50.78,50.88,50.14,887.15K,-1.28%,88578.31
02/15/2017,52.16,50.73,52.16,50.38,999.42K,3.74%,88082.21
02/16/2017,52.70,52.26,52.75,52.06,460.65K,1.04%,87881.97
02/17/2017,52.75,52.40,52.90,52.26,685.88K,0.09%,88186.86
02/20/2017,52.26,53.19,53.19,52.06,404.73K,-0.93%,88830.41
02/21/2017,52.31,52.26,52.55,51.91,614.75K,0.10%,88587.66
02/22/2017,52.70,52.01,52.70,51.91,551.01K,0.75%,88965.14
02/23/2017,52.95,52.65,52.95,52.31,406.41K,0.47%,88531.28
02/24/2017,51.71,52.70,52.80,51.37,691.10K,-2.34%,89138.37
02/27/2017,51.12,51.71,51.81,50.88,281.28K,-1.14%,88258.45
02/28/2017,51.67,50.68,51.76,50.68,808.12K,1.08%,87765.41
03/01/2017,51.96,51.57,52.26,51.37,393.49K,0.56%,87478.33
03/02/2017,52.06,51.96,52.06,51.47,615.51K,0.19%,89320.25
03/03/2017,51.52,51.91,51.96,51.07,565.68K,-1.04%,89933.88
03/06/2017,52.75,51.76,52.75,51.71,428.28K,2.39%,89722.05
03/07/2017,55.76,53.00,55.76,52.90,2.18M,5.71%,91044.99
03/08/2017,56.89,55.66,57.38,55.12,2.35M,2.03%,90813.61
03/09/2017,56.00,56.89,57.63,56.00,887.07K,-1.56%,89484.90
03/10/2017,55.07,56.25,56.45,55.07,347.51K,-1.66%,89002.56
03/13/2017,54.82,55.07,55.31,54.23,461.77K,-0.45%,89611.40
03/14/2017,54.92,55.12,55.91,54.48,367.67K,0.18%,89429.73
03/15/2017,54.52,55.21,55.66,54.48,645.97K,-0.73%,89136.53
03/16/2017,54.67,55.07,55.41,54.23,680.75K,0.28%,89445.55
03/17/2017,54.82,54.23,54.82,54.08,1.15M,0.27%,90268.32
03/20/2017,55.56,54.72,55.56,54.38,394.12K,1.35%,90491.39
03/21/2017,55.71,55.81,56.15,55.41,542.06K,0.27%,90902.11
03/22/2017,54.77,54.97,55.56,54.57,764.26K,-1.69%,90606.46
03/23/2017,55.76,54.87,55.76,54.43,686.10K,1.81%,89809.09
03/24/2017,56.50,55.81,56.50,55.31,582.38K,1.33%,89764.11
03/27/2017,56.79,56.35,56.79,55.95,677.68K,0.51%,90382.71
03/28/2017,56.35,57.04,57.09,56.20,457.66K,-0.77%,89695.05
03/29/2017,56.35,56.35,56.55,55.95,559.90K,0.00%,90181.73
03/30/2017,56.20,56.35,56.79,55.95,449.04K,-0.27%,89269.72
03/31/2017,55.12,55.91,56.10,55.07,481.00K,-1.92%,89282.25
04/03/2017,55.21,55.41,55.41,54.67,410.42K,0.16%,88947.40
04/04/2017,55.17,55.21,55.41,54.77,675.22K,-0.07%,88669.47
04/05/2017,55.17,54.97,55.26,54.52,628.44K,0.00%,88612.55
04/06/2017,55.21,54.57,55.46,54.52,652.18K,0.07%,89037.45
04/07/2017,55.31,54.97,55.36,54.57,594.23K,0.18%,88679.04
04/10/2017,55.61,55.31,55.95,54.97,472.83K,0.54%,88497.33
04/11/2017,56.00,55.51,56.00,55.21,639.95K,0.70%,91240.45
04/12/2017,56.10,56.00,56.10,55.36,485.66K,0.18%,90904.49
04/13/2017,55.81,56.20,56.30,55.71,472.23K,-0.52%,90952.16
04/14/2017,55.61,55.81,56.15,55.61,122.03K,-0.36%,89870.68
04/17/2017,55.07,55.81,56.20,55.07,357.59K,-0.97%,90063.69
04/18/2017,55.17,54.87,55.26,54.57,603.43K,0.18%,90653.80
04/19/2017,55.02,55.17,55.17,54.77,520.53K,-0.27%,91373.78
04/20/2017,54.77,54.72,55.02,54.57,439.17K,-0.45%,90804.13
04/21/2017,55.46,54.97,55.56,54.77,408.10K,1.26%,92039.38
04/24/2017,55.76,55.81,55.86,55.31,388.36K,0.54%,92423.93
04/25/2017,57.19,56.00,57.19,55.76,747.06K,2.56%,93802.81
04/26/2017,56.50,57.19,57.19,56.40,766.63K,-1.21%,94634.91
04/27/2017,56.74,56.30,56.99,56.30,471.54K,0.42%,94522.34
04/28/2017,57.24,56.89,57.29,56.40,498.74K,0.88%,94282.48
05/02/2017,56.79,57.38,57.63,56.79,426.66K,-0.79%,94655.31
05/03/2017,56.64,56.79,57.14,56.50,555.60K,-0.26%,94355.91
05/04/2017,56.79,56.89,56.94,56.35,585.34K,0.26%,93862.74
05/05/2017,56.60,56.50,57.09,56.45,568.95K,-0.33%,93038.49
05/08/2017,56.50,56.89,56.99,56.00,643.03K,-0.18%,93928.39
05/09/2017,59.16,57.78,59.36,57.78,2.11M,4.71%,93832.70
05/10/2017,62.07,58.91,62.26,58.91,2.64M,4.92%,95323.38
05/11/2017,62.26,62.07,62.31,61.53,891.83K,0.31%,96194.20
05/12/2017,62.41,62.61,62.71,61.92,548.01K,0.24%,95114.06
05/15/2017,63.20,62.71,63.69,62.71,612.41K,1.27%,94996.35
05/16/2017,63.10,63.50,64.04,62.86,850.72K,-0.16%,95587.75
05/17/2017,61.77,62.81,63.15,61.43,755.51K,-2.11%,96161.50
05/18/2017,61.87,61.67,62.07,60.14,1.03M,0.16%,95724.95
05/22/2017,62.41,62.12,62.76,61.43,524.28K,0.87%,95147.34
05/23/2017,62.95,61.82,62.95,61.18,524.84K,0.87%,96400.03
05/24/2017,61.62,62.71,62.71,61.03,537.45K,-2.11%,97717.48
05/25/2017,62.26,61.87,62.41,61.28,727.01K,1.04%,98313.77
05/26/2017,62.51,62.26,62.61,61.28,327.38K,0.40%,97712.94
05/29/2017,62.36,62.51,62.76,62.17,135.15K,-0.24%,97533.28
05/30/2017,62.71,62.66,62.86,62.36,332.32K,0.56%,97725.95
05/31/2017,61.87,63.40,63.60,61.67,849.34K,-1.34%,97347.63
06/01/2017,62.95,62.12,63.10,61.43,573.53K,1.75%,97541.58
06/02/2017,64.38,63.50,64.78,63.20,692.12K,2.27%,97365.79
06/05/2017,63.74,64.53,64.78,63.60,566.83K,-0.99%,98867.90
06/06/2017,63.30,63.50,63.94,63.30,390.23K,-0.69%,98191.97
06/07/2017,62.50,64.00,64.00,62.45,486.25K,-1.26%,98331.54
06/08/2017,63.60,63.20,63.80,62.70,465.42K,1.76%,97616.52
06/09/2017,63.65,63.70,64.20,63.25,545.49K,0.08%,97977.54
06/12/2017,64.10,63.75,64.40,63.60,337.39K,0.71%,98942.87
06/13/2017,64.55,64.10,64.60,63.45,388.27K,0.70%,99442.11
06/14/2017,65.00,64.55,65.40,64.25,666.71K,0.70%,99299.67
06/15/2017,65.00,64.30,65.10,64.15,468.68K,0.00%,99636.27
06/16/2017,64.15,64.65,65.15,63.85,700.24K,-1.31%,98737.01
06/19/2017,64.20,64.20,64.80,63.85,300.37K,0.08%,98192.55
06/20/2017,64.75,64.20,64.80,63.95,244.66K,0.86%,99332.13
06/21/2017,64.25,64.50,65.00,64.25,350.88K,-0.77%,99269.27
06/22/2017,65.05,64.75,65.15,64.30,366.97K,1.25%,99390.12
06/23/2017,65.10,65.10,65.35,64.70,471.68K,0.08%,100072.15
06/28/2017,64.80,65.15,65.50,64.00,554.95K,-0.46%,99638.65
06/29/2017,64.50,65.10,65.10,64.15,424.90K,-0.46%,100617.69
06/30/2017,65.25,64.15,65.50,64.10,902.24K,1.16%,100190.32
07/03/2017,64.70,65.25,65.35,64.50,529.57K,-0.84%,100440.39
07/04/2017,64.40,64.60,64.80,64.35,385.85K,-0.46%,100522.30
07/05/2017,64.95,64.40,65.40,64.35,506.68K,0.85%,101207.79
07/06/2017,65.35,64.85,65.80,64.75,492.37K,0.62%,100744.45
07/07/2017,64.40,65.35,65.55,64.40,247.59K,-1.45%,100627.01
07/10/2017,64.10,64.50,64.75,64.05,316.58K,-0.47%,100084.37
07/11/2017,64.65,64.10,65.35,63.05,883.40K,0.86%,101097.16
07/12/2017,65.75,64.20,65.85,64.20,583.70K,1.70%,103182.64
07/13/2017,66.00,65.75,66.50,65.50,412.99K,0.38%,103809.78
07/14/2017,67.60,66.00,67.90,65.65,571.21K,2.42%,104210.22
07/17/2017,67.65,67.85,68.35,67.05,709.03K,0.07%,105175.73
07/18/2017,67.50,67.60,68.10,67.30,233.37K,-0.22%,106217.00
07/19/2017,68.90,67.45,69.00,67.40,591.28K,2.07%,105718.31
07/20/2017,68.55,68.55,69.00,68.40,460.38K,-0.51%,107417.52
07/21/2017,68.70,68.80,69.30,68.45,349.24K,0.22%,106735.56
07/24/2017,68.25,68.80,68.80,68.00,390.91K,-0.66%,106842.79
07/25/2017,68.30,68.20,68.80,68.15,965.56K,0.07%,106710.52
07/26/2017,68.05,68.50,68.50,67.60,545.55K,-0.37%,107040.67
07/27/2017,68.60,68.45,68.70,67.95,625.55K,0.81%,107206.16
07/28/2017,68.65,68.10,69.00,67.95,449.21K,0.07%,108391.71
07/31/2017,68.60,68.95,69.00,68.40,406.93K,-0.07%,107699.72
08/01/2017,69.30,68.90,69.60,68.70,677.80K,1.02%,107531.44
08/02/2017,69.80,69.55,70.50,69.15,603.96K,0.72%,106147.43
08/03/2017,68.80,69.40,69.80,68.60,476.81K,-1.43%,106525.44
08/04/2017,69.90,68.80,70.20,68.80,575.37K,1.60%,107153.78
08/07/2017,70.45,69.80,70.70,69.60,489.40K,0.79%,108545.31
08/08/2017,68.65,70.40,70.55,68.35,884.35K,-2.55%,109781.13
08/09/2017,68.50,68.40,68.50,67.50,590.63K,-0.22%,109639.12
08/10/2017,68.30,68.35,68.70,67.90,279.42K,-0.29%,108714.58
