Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
01/02/2017,4.751,4.760,4.788,4.732,3.84M,-0.77%,78138.66
01/03/2017,4.639,4.760,4.760,4.593,13.07M,-2.36%,77754.46
01/04/2017,4.425,4.639,4.658,4.378,22.63M,-4.61%,76618.20
01/05/2017,4.509,4.444,4.518,4.332,23.07M,1.90%,76143.59
01/06/2017,4.481,4.509,4.509,4.406,18.94M,-0.62%,76386.30
01/09/2017,4.490,4.453,4.537,4.416,11.41M,0.20%,77106.57
01/10/2017,4.630,4.490,4.630,4.462,17.97M,3.12%,77394.44
01/11/2017,4.937,4.583,4.965,4.583,32.24M,6.63%,77393.69
01/12/2017,5.235,4.993,5.273,4.956,27.16M,6.04%,77666.58
01/13/2017,5.254,5.226,5.273,5.123,18.20M,0.36%,80891.04
01/16/2017,5.273,5.254,5.366,5.217,14.45M,0.36%,81524.32
01/17/2017,5.245,5.319,5.338,5.179,16.10M,-0.53%,81711.69
01/18/2017,5.152,5.291,5.291,5.086,15.41M,-1.77%,82362.77
01/19/2017,5.142,5.189,5.235,5.096,11.02M,-0.19%,82779.25
01/20/2017,5.207,5.133,5.226,5.030,9.60M,1.26%,82300.32
01/23/2017,5.226,5.226,5.282,5.161,8.46M,0.36%,83067.15
01/24/2017,5.356,5.198,5.356,5.198,14.32M,2.49%,83047.80
01/25/2017,5.217,5.356,5.375,5.189,9.95M,-2.60%,84207.89
01/26/2017,5.254,5.245,5.301,5.189,9.78M,0.71%,83128.26
01/27/2017,5.301,5.217,5.301,5.207,6.26M,0.89%,83826.54
01/30/2017,5.431,5.291,5.478,5.273,10.50M,2.45%,83827.39
01/31/2017,5.412,5.422,5.459,5.375,7.66M,-0.35%,86237.54
02/01/2017,5.543,5.403,5.543,5.394,10.01M,2.42%,86295.72
02/02/2017,5.496,5.561,5.589,5.450,11.05M,-0.85%,86847.96
02/03/2017,5.515,5.459,5.515,5.366,16.54M,0.35%,87394.19
02/06/2017,5.515,5.571,5.599,5.450,13.42M,0.00%,88389.50
02/07/2017,5.338,5.478,5.515,5.329,23.92M,-3.21%,87357.86
02/08/2017,5.329,5.375,5.412,5.273,17.89M,-0.17%,87476.73
02/09/2017,5.329,5.329,5.394,5.273,18.14M,0.00%,88249.08
02/10/2017,5.338,5.366,5.450,5.179,50.89M,0.17%,88830.21
02/13/2017,5.468,5.329,5.487,5.263,17.34M,2.44%,87473.33
02/14/2017,5.561,5.440,5.561,5.412,16.80M,1.70%,88578.31
02/15/2017,5.496,5.580,5.580,5.459,12.59M,-1.17%,88082.21
02/16/2017,5.505,5.524,5.543,5.459,12.02M,0.16%,87881.97
02/17/2017,5.515,5.505,5.561,5.478,12.05M,0.18%,88186.86
02/20/2017,5.431,5.543,5.543,5.366,9.26M,-1.52%,88830.41
02/21/2017,5.487,5.459,5.496,5.375,12.58M,1.03%,88587.66
02/22/2017,5.505,5.478,5.524,5.450,12.32M,0.33%,88965.14
02/23/2017,5.683,5.533,5.683,5.468,18.17M,3.23%,88531.28
02/24/2017,5.543,5.683,5.683,5.496,15.96M,-2.46%,89138.37
02/27/2017,5.533,5.543,5.580,5.515,6.45M,-0.18%,88258.45
02/28/2017,5.533,5.552,5.552,5.450,12.86M,0.00%,87765.41
03/01/2017,5.543,5.543,5.552,5.496,8.62M,0.18%,87478.33
03/02/2017,5.664,5.543,5.683,5.524,15.46M,2.18%,89320.25
03/03/2017,5.627,5.645,5.729,5.571,9.28M,-0.65%,89933.88
03/06/2017,5.627,5.654,5.692,5.617,7.69M,0.00%,89722.05
03/07/2017,5.571,5.645,5.654,5.552,8.73M,-1.00%,91044.99
03/08/2017,5.450,5.580,5.599,5.440,9.39M,-2.17%,90813.61
03/09/2017,5.496,5.450,5.515,5.450,7.92M,0.84%,89484.90
03/10/2017,5.487,5.515,5.599,5.459,10.46M,-0.16%,89002.56
03/13/2017,5.524,5.487,5.524,5.422,7.13M,0.67%,89611.40
03/14/2017,5.450,5.524,5.580,5.450,9.53M,-1.34%,89429.73
03/15/2017,5.589,5.478,5.617,5.478,13.40M,2.55%,89136.53
03/16/2017,5.766,5.645,5.776,5.636,15.71M,3.17%,89445.55
03/17/2017,5.785,5.776,5.869,5.757,17.57M,0.33%,90268.32
03/20/2017,5.701,5.757,5.785,5.627,9.25M,-1.45%,90491.39
03/21/2017,5.692,5.720,5.813,5.654,12.88M,-0.16%,90902.11
03/22/2017,5.636,5.627,5.664,5.543,11.85M,-0.98%,90606.46
03/23/2017,5.543,5.664,5.664,5.515,10.04M,-1.65%,89809.09
03/24/2017,5.561,5.524,5.608,5.496,9.42M,0.32%,89764.11
03/27/2017,5.459,5.552,5.561,5.422,11.52M,-1.83%,90382.71
03/28/2017,5.505,5.505,5.524,5.403,10.35M,0.84%,89695.05
03/29/2017,5.515,5.496,5.561,5.468,13.58M,0.18%,90181.73
03/30/2017,5.543,5.533,5.561,5.487,9.38M,0.51%,89269.72
03/31/2017,5.496,5.533,5.561,5.487,8.04M,-0.85%,89282.25
04/03/2017,5.459,5.515,5.524,5.440,6.91M,-0.67%,88947.40
04/04/2017,5.580,5.468,5.580,5.384,17.48M,2.22%,88669.47
04/05/2017,5.580,5.620,5.630,5.530,16.72M,0.00%,88612.55
04/06/2017,5.560,5.570,5.660,5.540,15.21M,-0.36%,89037.45
04/07/2017,5.530,5.540,5.590,5.520,11.62M,-0.54%,88679.04
04/10/2017,5.680,5.550,5.690,5.550,14.84M,2.71%,88497.33
04/11/2017,4.411,4.482,4.506,4.403,21.92M,-22.34%,91240.45
04/12/2017,4.403,4.427,4.466,4.396,10.67M,-0.18%,90904.49
04/13/2017,4.309,4.419,4.419,4.246,30.95M,-2.13%,90952.16
04/14/2017,4.301,4.301,4.340,4.269,5.43M,-0.19%,89870.68
04/17/2017,4.380,4.340,4.403,4.301,17.16M,1.84%,90063.69
