Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
01/02/2017,7.36,7.37,7.39,7.34,24.48M,-0.27%,78138.66
01/03/2017,7.28,7.37,7.40,7.26,96.68M,-1.09%,77754.46
01/04/2017,7.20,7.31,7.32,7.17,69.64M,-1.10%,76618.20
01/05/2017,7.17,7.23,7.28,7.11,115.06M,-0.42%,76143.59
01/06/2017,7.22,7.16,7.26,7.14,76.88M,0.70%,76386.30
01/09/2017,7.29,7.19,7.31,7.18,77.57M,0.97%,77106.57
01/10/2017,7.18,7.28,7.33,7.17,102.13M,-1.51%,77394.44
01/11/2017,7.23,7.18,7.26,7.11,96.97M,0.70%,77393.69
01/12/2017,7.66,7.27,7.68,7.25,237.42M,5.95%,77666.58
01/13/2017,7.65,7.63,7.66,7.54,163.35M,-0.13%,80891.04
01/16/2017,7.55,7.65,7.71,7.55,112.40M,-1.31%,81524.32
01/17/2017,7.66,7.59,7.67,7.50,142.46M,1.46%,81711.69
01/18/2017,7.65,7.68,7.72,7.63,107.12M,-0.13%,82362.77
01/19/2017,7.56,7.66,7.70,7.53,107.54M,-1.18%,82779.25
01/20/2017,7.66,7.57,7.67,7.52,102.11M,1.32%,82300.32
01/23/2017,7.57,7.69,7.71,7.57,81.48M,-1.17%,83067.15
01/24/2017,7.60,7.59,7.64,7.49,176.19M,0.40%,83047.80
01/25/2017,7.48,7.60,7.60,7.46,114.39M,-1.58%,84207.89
01/26/2017,7.62,7.51,7.65,7.47,122.81M,1.87%,83128.26
01/27/2017,7.66,7.60,7.67,7.58,71.51M,0.52%,83826.54
01/30/2017,7.98,7.65,8.02,7.64,167.46M,4.18%,83827.39
01/31/2017,8.06,7.98,8.10,7.92,149.70M,1.00%,86237.54
02/01/2017,8.11,8.07,8.13,7.98,105.29M,0.62%,86295.72
02/02/2017,8.28,8.15,8.29,8.14,104.31M,2.10%,86847.96
02/03/2017,8.56,8.25,8.56,8.23,112.40M,3.38%,87394.19
02/06/2017,8.34,8.66,8.76,8.32,133.66M,-2.57%,88389.50
02/07/2017,8.35,8.33,8.41,8.26,147.16M,0.12%,87357.86
02/08/2017,8.47,8.38,8.51,8.36,95.96M,1.44%,87476.73
02/09/2017,8.59,8.48,8.62,8.44,103.79M,1.42%,88249.08
02/10/2017,8.36,8.61,8.66,8.36,107.58M,-2.68%,88830.21
02/13/2017,8.55,8.39,8.59,8.37,70.63M,2.27%,87473.33
02/14/2017,8.53,8.60,8.60,8.40,109.60M,-0.23%,88578.31
02/15/2017,8.50,8.56,8.66,8.45,122.77M,-0.35%,88082.21
02/16/2017,8.62,8.57,8.63,8.55,70.86M,1.41%,87881.97
02/17/2017,8.75,8.61,8.77,8.59,74.24M,1.51%,88186.86
02/20/2017,8.65,8.83,8.84,8.65,92.72M,-1.14%,88830.41
02/21/2017,8.74,8.67,8.80,8.66,69.61M,1.04%,88587.66
02/22/2017,8.52,8.69,8.74,8.45,114.26M,-2.52%,88965.14
02/23/2017,8.55,8.56,8.63,8.53,88.50M,0.35%,88531.28
02/24/2017,8.42,8.57,8.60,8.38,74.56M,-1.52%,89138.37
02/27/2017,8.37,8.44,8.48,8.36,60.00M,-0.59%,88258.45
02/28/2017,8.35,8.38,8.40,8.30,89.73M,-0.24%,87765.41
03/01/2017,8.63,8.39,8.64,8.37,107.84M,3.35%,87478.33
03/02/2017,8.68,8.65,8.73,8.62,84.97M,0.58%,89320.25
03/03/2017,8.61,8.68,8.69,8.57,79.26M,-0.81%,89933.88
03/06/2017,8.76,8.65,8.80,8.65,65.95M,1.74%,89722.05
03/07/2017,8.76,8.80,8.80,8.72,64.75M,0.00%,91044.99
03/08/2017,8.58,8.77,8.80,8.55,84.64M,-2.05%,90813.61
03/09/2017,8.49,8.56,8.59,8.42,69.86M,-1.05%,89484.90
03/10/2017,8.67,8.55,8.67,8.53,50.17M,2.12%,89002.56
03/13/2017,8.63,8.64,8.67,8.58,39.14M,-0.46%,89611.40
03/14/2017,8.55,8.64,8.64,8.54,41.44M,-0.93%,89429.73
03/15/2017,8.60,8.57,8.66,8.57,53.90M,0.58%,89136.53
03/16/2017,8.67,8.70,8.75,8.64,65.00M,0.81%,89445.55
03/17/2017,8.65,8.72,8.79,8.64,56.83M,-0.23%,90268.32
03/20/2017,8.79,8.64,8.79,8.61,37.54M,1.62%,90491.39
03/21/2017,8.65,8.82,8.83,8.65,61.44M,-1.59%,90902.11
03/22/2017,8.57,8.60,8.60,8.53,47.08M,-0.92%,90606.46
03/23/2017,8.46,8.60,8.60,8.46,62.00M,-1.28%,89809.09
03/24/2017,8.65,8.46,8.65,8.44,62.33M,2.25%,89764.11
03/27/2017,8.59,8.65,8.67,8.55,48.47M,-0.69%,90382.71
03/28/2017,8.64,8.64,8.69,8.60,44.39M,0.58%,89695.05
03/29/2017,8.63,8.51,8.65,8.46,45.04M,-0.12%,90181.73
03/30/2017,8.66,8.66,8.70,8.63,32.54M,0.35%,89269.72
