Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
01/02/2017,4.970,4.970,5.000,4.950,24.25M,-0.80%,78138.66
01/03/2017,4.880,4.980,4.990,4.880,55.63M,-1.81%,77754.46
01/04/2017,4.820,4.900,4.910,4.820,30.17M,-1.23%,76618.20
01/05/2017,4.960,4.850,4.980,4.790,85.51M,2.90%,76143.59
01/06/2017,4.940,4.940,5.000,4.910,44.00M,-0.40%,76386.30
01/09/2017,4.880,4.910,4.910,4.850,38.01M,-1.21%,77106.57
01/10/2017,4.830,4.880,4.890,4.820,47.29M,-1.02%,77394.44
01/11/2017,4.820,4.810,4.850,4.760,60.30M,-0.21%,77393.69
01/12/2017,4.970,4.840,5.020,4.830,106.37M,3.11%,77666.58
01/13/2017,5.010,4.970,5.110,4.950,129.88M,0.80%,80891.04
01/16/2017,5.100,5.030,5.150,5.030,82.51M,1.80%,81524.32
01/17/2017,5.170,5.140,5.180,5.070,101.49M,1.37%,81711.69
01/18/2017,5.220,5.210,5.250,5.180,81.28M,0.97%,82362.77
01/19/2017,5.150,5.230,5.250,5.130,60.38M,-1.34%,82779.25
01/20/2017,5.190,5.160,5.200,5.120,57.94M,0.78%,82300.32
01/23/2017,5.200,5.210,5.240,5.170,44.55M,0.19%,83067.15
01/24/2017,5.500,5.210,5.500,5.180,157.58M,5.77%,83047.80
01/25/2017,5.360,5.520,5.570,5.360,97.11M,-2.55%,84207.89
01/26/2017,5.470,5.380,5.530,5.360,85.22M,2.05%,83128.26
01/27/2017,5.350,5.450,5.490,5.350,69.45M,-2.19%,83826.54
01/30/2017,5.600,5.370,5.640,5.370,141.46M,4.67%,83827.39
01/31/2017,5.540,5.610,5.670,5.520,128.21M,-1.07%,86237.54
02/01/2017,5.650,5.560,5.660,5.510,85.06M,1.99%,86295.72
02/02/2017,5.680,5.670,5.740,5.650,118.43M,0.53%,86847.96
02/03/2017,5.680,5.670,5.710,5.630,66.70M,0.00%,87394.19
02/06/2017,5.600,5.740,5.780,5.600,94.50M,-1.41%,88389.50
02/07/2017,5.560,5.600,5.610,5.520,66.71M,-0.71%,87357.86
02/08/2017,5.750,5.580,5.760,5.570,109.73M,3.42%,87476.73
02/09/2017,5.750,5.770,5.820,5.700,97.09M,0.00%,88249.08
02/10/2017,5.580,5.770,5.790,5.580,67.24M,-2.96%,88830.21
